country,date,frequency,gdp_growth,inflation,population_growth,investment_share,trade_share,unemployment
USA,2018-12-31,A,2.9,2.4,0.6,21.1,27.5,3.9
USA,2019-12-31,A,2.3,1.8,0.5,21.4,26.8,3.7
USA,2020-12-31,A,-2.8,1.2,0.4,20.2,24.3,8.1
USA,2021-12-31,A,5.9,4.7,0.3,21.9,26.1,5.4
USA,2022-12-31,A,1.9,8.0,0.4,22.0,27.9,3.6
USA,2023-12-31,A,2.5,4.1,0.5,22.4,28.2,3.6
USA,2024-12-31,A,2.2,3.1,0.4,22.6,28.0,4.0
CAN,2018-12-31,A,2.8,2.3,1.1,23.0,66.5,5.8
CAN,2019-12-31,A,1.9,1.9,1.0,22.6,65.8,5.7
CAN,2020-12-31,A,-5.0,0.7,0.8,21.2,63.2,9.5
CAN,2021-12-31,A,5.3,3.4,0.9,22.9,66.9,7.5
CAN,2022-12-31,A,3.8,6.8,0.8,23.1,67.2,5.3
CAN,2023-12-31,A,1.2,3.9,0.9,22.8,66.0,5.4
CAN,2024-12-31,A,1.5,3.0,0.8,22.7,65.7,5.8
GBR,2018-12-31,A,1.4,2.5,0.6,17.4,62.0,4.1
GBR,2019-12-31,A,1.6,1.8,0.5,17.5,61.7,3.8
GBR,2020-12-31,A,-9.3,0.9,0.4,16.2,57.4,4.5
GBR,2021-12-31,A,7.6,2.5,0.5,17.0,60.1,4.6
GBR,2022-12-31,A,4.3,9.1,0.4,17.4,63.0,3.7
GBR,2023-12-31,A,0.3,7.3,0.4,17.6,62.8,4.2
GBR,2024-12-31,A,0.8,3.4,0.4,17.8,62.5,4.5
